;16.7.;20.8.;11.6.;26.6.
HIGH;0;0;1;0
BOOGIE WONDERLAND;0;0;1;0
SUNRISE;0;0;1;0
HAIL HAIL ROCK 'N' ROLL;0;0;1;0
SINTRA;0;0;1;0
ONE NIGHT IN HEAVEN;0;0;1;0
LISTEN TO THE MUSIC;0;0;1;0
REACH OUT, I'LL BE THERE (PWL REMIX);0;0;1;0
DESPACITO (FEAT. DADDY YANKEE);0;0;1;0
YOUNG RIGHT NOW_PN;0;0;1;0
SOFIA;0;0;1;0
IKO IKO (MY BESTIE) (FEAT. SMALL JAM)_PN;0;0;1;0
LILA WOLKEN_PN;0;0;1;0
WALKING IN MEMPHIS;0;0;1;0
DON'T BE SO SHY (FILATOV AND KARAS REMIX);0;0;0;1
AIN´T NOBODY;0;0;0;1
SMOKIN OUT THE WINDOW_PN;0;0;0;1
SOMEONE LOVES YOU HONEY;0;0;0;1
THAT'S THE WAY LOVE GOES;0;0;0;1
ARE YOU READY (12 INCH MIX);0;0;0;1
YOU CAN DO MAGIC;0;0;0;1
ON THE BEACH;0;0;0;1
SWEET HARMONY;0;0;0;1
LIFTED;0;0;0;1
TAINTED LOVE;0;0;0;1
2_THE NIGHT;0;0;0;1
OCEAN BLUE;0;0;0;1
YOUR LOVE IS KING;0;0;0;1
OCEAN DRIVE;0;0;0;1
DONT SPEAK;0;0;0;1
RENDEZVOUS (JAZZ VERSION);0;0;0;1
FOTOGRAFIA;0;0;0;1
CARELESS WHISPER_PN;0;0;0;1
LOVE'S TRAIN (CON FUNK SHUN COVER)_PN;0;0;0;1
CUBANOVA;0;0;0;1
1_BARCELONA NIGHTS;0;0;0;1
YOUR LOVE IS KING_PN;0;0;0;1
HERE COMES THE RAIN AGAIN;0;0;0;1
NO ORDINARY LOVE;0;0;0;1
SWEET DREAMS;0;0;0;1
CREAM;0;0;0;1
LAS SALINAS;0;0;0;1
OUT ON THE STREET;0;0;0;1
AIN'T NOBODY;0;0;0;1
YOU;0;0;0;1
ROCK YOUR BABY (PASSED OUT ON THE FLOOR REMIX);0;0;0;1
ALL OF ME_PN;0;0;0;1
DADDY'S LITTLE GIRL;0;0;0;1
BAILANDO (FEAT. SEAN PAUL) (ENGLISH VERSION)_PN;0;0;0;1
MA BAKER;0;0;0;1
SUPER TROUPER;0;0;0;1
ON THE FLOOR;0;0;0;1
DON'T STOP THE MUSIK;0;0;0;1
HAPPY_PN;0;0;0;1
COLD HEART (PNAU REMIX)_PN;0;0;0;1
BAD HABITS_PN;0;0;0;1
HAPPY BIRTHDAY TO YOU;0;0;0;1
AUF UNS_PN;0;0;0;1
BAYERN;0;0;0;1
180 GRAD;0;0;0;1
WONDERFUL COPENHAGEN;0;0;0;1
WONDERFUL TONIGHT;0;0;0;1
LIQUID SPIRIT_PN;0;0;0;1
COLORADO_PN;0;0;0;1
MAMBO NO. 5;0;0;0;1
I LIKE TO MOVE IT;0;0;0;1
PARTY ROCK ANTHEM;0;0;0;1
PUMP IT UP!;0;0;0;1
DJ GOT US FALLIN' IN LOVE_PN;0;0;0;1
MAMA LAUDAAA;0;0;0;1
SEXY (LIVE);0;0;0;1
TEENAGE DIRTBAG;0;0;0;1
MR. BRIGHTSIDE;0;0;0;1
SUMMER OF _69;0;0;0;1
ITS MY LIFE;0;0;0;1
NARCOTIC;0;0;0;1
REMMIDEMMI;0;0;0;1
SCHWARZ ZU BLAU;0;0;0;1
AUGENBLING;0;0;0;1
LAYLA_PN;0;0;0;1
JOHNNY DÄPP;0;0;0;1
SAUFEN MORGENS, MITTAGS, ABENDS;0;0;0;1
HELIKOPTER 117 (MACH DEN HUB HUB HUB);0;0;0;1
HOLZ;0;0;0;1
HOLLAND;0;0;0;1
ALOHA HEJA HE;0;0;0;1
ALLES NUR GEKLAUT;0;0;0;1
AN TAGEN WIE DIESEN;0;0;0;1
GEH MAL BIER HOL'N (GMBH)_PN;0;0;0;1
HENRI HENRISSON;0;0;0;1
SCHÜTTEL DEINEN SPECK;0;0;0;1
VERDAMMT ICH LIEB DICH;0;0;0;1
1000 UND EINE NACHT (ZOOM!);0;0;0;1
ICH LIEBE DICH;0;0;0;1
PARTY MIX (KURZE VERSION);0;0;0;1
EIN SONG REICHT_PN;0;0;0;1
MOVE YOUR BODY_PN;0;0;0;1
VAMOS A LA PLAYA;0;0;0;1
(I'VE HAD) THE TIME OF MY LIFE;0;0;0;1
ABENTEUERLAND;0;0;0;1
ANGELS_PN;0;0;0;1
THEME FROM NEW YORK NEW YORK;0;0;0;1
NUR NACH HAUSE;0;0;0;1
MEMORIES;0;0;0;1
